ID;ID;name;adress;coordinate;functional_zone;landuse;land_size;area;building_area;land_area;year_of_commissioning;year_of_termination;new_feature;new_feature_2;capacity;project_type;architectural_style;technical_condition;decoration;material;communications;link ;k1_1;k1_2;k1_3;k1_4;k1_5;k1_6;k1_7 ;k1_8;k1_9;k2_1 ;k2_2 ;k2_3 ;k2_4;k2_5;k2_6 ;k2_7 ;k2_8 ;k2_9;k3_1 ;k3_2;k3_3 ;k3_4;k3_5;k3_6 ;k4_1;k4_2;k4_3 ;k4_4;k4_5;k4_6;k4_7;k4_8;k4_9;k4_10;k4_11;k4_12;k4_13;k4_14;k4_15;k4_16;k4_17;i_1;i_2;i_3;i_4;I;potential;;
34;11;Школьное здание;г. Санкт-Петербург, пр КИМа, 24;59.952916, 30.244209;ЖЗ;ОЗРЗ-3;2869;3944;986;86;1936;2008;социальная;Центр психолого-медико-социального сопровождения;880;Типовой проект, тип ША, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house11340.html;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0,444444444;0,777777778;1;0,705882353;2,93;средний;;
24;12;Средняя школа;г. Санкт-Петербург, ул. Тамбовская, 17;59.912531, 30.353382;ЖЗ;ОЗРЗ-2;305;4468;1117;63;1938;2009;административная;Центральный государственный архивнаучно-технической документации;880;Типовой проект, тип ША, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, дерево;Подключено;https://www.citywalls.ru/house12866.html;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0,444444444;1;0,833333333;0,647058824;2,92;средний;;
63;13;Школа N275;г. Санкт-Петербург, Советский пер., 9;59.912738, 30.309463;Д;ОЗРЗ-1;2855;4080;1020;0;1937;1973;административная;Управление внутренних дел;880;Типовой проект, тип ШБ, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house3378.html;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;1;1;1;0,444444444;0,666666667;1;0,764705882;2,88;средний;;
44;14;Школа N373;г. Санкт-Петербург, ул. Коли Томчака, 15;59.887860, 30.324312;Д;ЗРЗ;6122;4604;1151;4005;1935;2009;административная;Управление пенсионного фонда РФ;880;Типовой проект Троцкий Н.А., Мартынов А.С.;Конструктивизм;Исправное;Да;Кирпич, дерево;Подключено;https://www.citywalls.ru/house8072.html;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;0;0,444444444;1;0,833333333;0,470588235;2,75;средний;;
37;15;Школа;г. Санкт-Петербург, Курчатова ул., 1;60.006557, 30.356939;Д;;13744;2379;793;3158;1935;2020;офисная;Научно-технический центр;440;;Конструктивизм;Работоспособное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house16500.html;0;1;1;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0,666666667;0,666666667;1;0,411764706;2,75;средний;;
45;16;Школа N406;г. Санкт-Петербург, Пушкин,  Павловское шоссе, 2;59.711500, 30.412491;Д;;27418;17490;5830;500;1937;1970;административная;Центр подготовки кадров ГУВД;880;;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house18955.html;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0,888888889;0,666666667;0,833333333;0,352941176;2,74;средний;;
30;17;Школа N112 ;г. Санкт-Петербург, наб. Фонтанки, 134Б;59.916723, 30.298793;ЖЗ;ЗРЗ-1;1396;559;1118;97;1935;2004;административная;Научно-методический центр;400;Фромзель В.М.;Сталинский неоклассицзим;Исправное;Да;Кирпич, дерево;Подключено;https://www.citywalls.ru/house1969.html;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;1;1;1;0,333333333;0,666666667;1;0,705882353;2,71;средний;;
43;18;Школа;г. Санкт-Петербург, Исполкомская ул., 25;59.929375, 30.382119;Ж;ОЗРЗ-2;4071;3963;1321;606;1937;2009;административная;Комитет по транспорту;880;Федосеев Ф.П.;Сталинский неоклассицзим;Исправное;Нет;Кирпич, дерево;Подключено;https://www.citywalls.ru/house4514.html;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;1;1;0,444444444;0,666666667;1;0,588235294;2,70;средний;;
33;19;Школа;г. Санкт-Петербург, Киевская ул., 28;59.903882, 30.331202;Д;;6846;4640;928;53;1936;2013;административная;Городской мониторинговый центр;880;Типовой проект, тип ША, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house24498.html;0;1;0;0;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;1;1;0;1;0,555555556;0,777777778;0,833333333;0,470588235;2,64;средний;;
3;20;"Школа жилмассива завода ""Электросила""";г. Санкт-Петербург, улица Решетникова, дом 15, литера А;59.878798, 30.329783;Ж;;12137;26064;6516;448;1930;1948;офисная;58-й Центральный проектный институт;1250;Индивидуальный проект, Дадин Г.И.;Конструктивизм;Исправное;Нет;Кирпич, дерево, металл;Подключено;https://www.citywalls.ru/house11192.html;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0,222222222;0,888888889;1;0,470588235;2,58;средний;;
